time,{ur5e}.ur5e.actual_q0,{ur5e}.ur5e.actual_q1,{ur5e}.ur5e.actual_q2,{ur5e}.ur5e.actual_q3,{ur5e}.ur5e.actual_q4,{ur5e}.ur5e.actual_q5,{ur5e}.ur5e.actual_X,{ur5e}.ur5e.actual_Y,{ur5e}.ur5e.actual_Z,{ur5e}.ur5e.actual_x,{ur5e}.ur5e.actual_y,{ur5e}.ur5e.actual_z,{kuka}.kuka.actual_q0,{kuka}.kuka.actual_q1,{kuka}.kuka.actual_q2,{kuka}.kuka.actual_q3,{kuka}.kuka.actual_q4,{kuka}.kuka.actual_q5,{kuka}.kuka.actual_q6,{kuka}.kuka.actual_X,{kuka}.kuka.actual_Y,{kuka}.kuka.actual_Z,{kuka}.kuka.actual_x,{kuka}.kuka.actual_y,{kuka}.kuka.actual_z,{rabbitmq}.rabbitmq.target_X_ur5e,{rabbitmq}.rabbitmq.target_Y_ur5e,{rabbitmq}.rabbitmq.target_Z_ur5e,{rabbitmq}.rabbitmq.target_X_kuka,{rabbitmq}.rabbitmq.target_Y_kuka,{rabbitmq}.rabbitmq.target_Z_kuka,{rabbitmq}.rabbitmq.motion_time_ur5e,{rabbitmq}.rabbitmq.motion_time_kuka
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6,16,1,8,11,2,2.0,2.0
0.5,-0.25384399433698895,-0.16489030769816673,0.19996115616712148,-0.1783015587177499,-0.0668994450827644,-0.1170124423805806,13,39,2,-0.8510268097069333,0.07020886751295781,0.09791257312563363,0.04931024218780936,0.02870397751750764,0.05319204788727812,-0.15552177034687578,-0.019554706983497847,0.08678557184753351,0.11035614647703586,9,3,21,0.12731910679492997,0.011364801447026502,1.2881943389532302,6,16,1,8,11,2,2.0,2.0
1.0,-1.4335667711697877,-0.9312068486057907,1.1292670908153435,-1.0069459807121353,-0.37781008658818716,-0.6608198458598583,0,28,-5,-0.3174559496400594,0.6919393243547858,-0.22395303957732915,0.27847625413951965,0.16210376958879882,0.3003984890044042,-0.8782986682237712,-0.11043388371162058,0.4901156410753161,0.6232288654180378,2,8,14,0.49519039446818736,0.2764729143293071,0.9469504329901723,6,16,1,8,11,2,2.0,2.0
1.5,-2.6793860703039143,-1.7404579325523808,2.1106394021076924,-1.8820170002036596,-0.7061401698078356,-1.2350952362912857,4,16,0,0.2554759965875958,0.5161769529804766,0.0058271091322913,0.5204817879832616,0.3029775737795344,0.5614552061094167,-1.6415707063891856,-0.20640476304080957,0.9160431505145026,1.164836388646057,6,12,4,0.2975386662949953,0.4444649106107162,0.4417678141742261,6,16,1,8,11,2,2.0,2.0
2.0,-3.011871606728775,-1.956431694505973,2.3725490543175454,-2.1155568542801753,-0.7937652402490922,-1.3883584433839182,6,16,1,0.2779999999695004,0.4110000000003184,0.07000000000421704,0.5850684738643892,0.34057411959249606,0.6311262913818148,-1.8452735332950674,-0.2320175700643552,1.0297151224870191,1.3093811617262041,8,11,2,0.1999999999451744,0.4050000000633043,0.3499999998972277,6,16,1,8,11,2,2.0,2.0
2.5,-3.011871606728775,-1.956431694505973,2.3725490543175454,-2.1155568542801753,-0.7937652402490922,-1.3883584433839182,6,16,1,0.2779999999695004,0.4110000000003184,0.07000000000421704,0.5850684738643892,0.34057411959249606,0.6311262913818148,-1.8452735332950674,-0.2320175700643552,1.0297151224870191,1.3093811617262041,8,11,2,0.1999999999451744,0.4050000000633043,0.3499999998972277,6,16,1,8,11,2,2.0,2.0
3.0,-3.011871606728778,-1.9564316945059739,2.372549054317549,-2.1155568542801753,-0.7937652402490922,-1.3883584433839171,6,16,1,0.2779999999695001,0.4110000000003168,0.07000000000421684,0.5850684738643883,0.3405741195924956,0.6311262913818156,-1.8452735332950678,-0.2320175700643552,1.0297151224870182,1.3093811617262032,8,11,2,0.19999999994517437,0.40500000006330433,0.34999999989722763,6,16,1,8,11,2,2.0,2.0
3.5,-3.011871606728778,-1.9564316945059739,2.372549054317549,-2.1155568542801753,-0.7937652402490922,-1.3883584433839171,6,16,1,0.2779999999695001,0.4110000000003168,0.07000000000421684,0.5850684738643883,0.3405741195924956,0.6311262913818156,-1.8452735332950678,-0.2320175700643552,1.0297151224870182,1.3093811617262032,8,11,2,0.19999999994517437,0.40500000006330433,0.34999999989722763,6,16,1,8,11,2,2.0,2.0
4.0,-3.011871606728778,-1.9564316945059739,2.372549054317549,-2.1155568542801753,-0.7937652402490922,-1.3883584433839171,6,16,1,0.2779999999695001,0.4110000000003168,0.07000000000421684,0.5850684738643883,0.3405741195924956,0.6311262913818156,-1.8452735332950678,-0.2320175700643552,1.0297151224870182,1.3093811617262032,8,11,2,0.19999999994517437,0.40500000006330433,0.34999999989722763,6,16,1,8,11,2,2.0,2.0
4.5,-3.011871606728778,-1.9564316945059739,2.372549054317549,-2.1155568542801753,-0.7937652402490922,-1.3883584433839171,6,16,1,0.2779999999695001,0.4110000000003168,0.07000000000421684,0.5850684738643883,0.3405741195924956,0.6311262913818156,-1.8452735332950678,-0.2320175700643552,1.0297151224870182,1.3093811617262032,8,11,2,0.19999999994517437,0.40500000006330433,0.34999999989722763,6,16,1,8,11,2,2.0,2.0
5.0,-3.011871606728778,-1.9564316945059739,2.372549054317549,-2.1155568542801753,-0.7937652402490922,-1.3883584433839171,6,16,1,0.2779999999695001,0.4110000000003168,0.07000000000421684,0.5850684738643883,0.3405741195924956,0.6311262913818156,-1.8452735332950678,-0.2320175700643552,1.0297151224870182,1.3093811617262032,8,11,2,0.19999999994517437,0.40500000006330433,0.34999999989722763,6,16,1,8,11,2,2.0,2.0
5.5,-3.011871606728778,-1.9564316945059739,2.372549054317549,-2.1155568542801753,-0.7937652402490922,-1.3883584433839171,6,16,1,0.2779999999695001,0.4110000000003168,0.07000000000421684,0.5850684738643883,0.3405741195924956,0.6311262913818156,-1.8452735332950678,-0.2320175700643552,1.0297151224870182,1.3093811617262032,8,11,2,0.19999999994517437,0.40500000006330433,0.34999999989722763,5,22,0,7,14,1,2.0,2.0
6.0,-2.0621620536173597,-2.1148364758291067,2.5960447349897606,-2.7746107242905254,-1.2306399320088737,-0.3617514133973827,5,22,0,-0.02200001168307542,0.4609999975406736,0.02000000468946958,0.8407496911362768,0.7423853359191681,0.4886720768725046,-1.3657218794135404,-0.36007980754694113,1.1214697983547417,1.3762455903233857,7,14,1,0.24999907011358494,0.5549994961526077,0.2999995857955008,5,22,0,7,14,1,2.0,2.0
6.5,-2.062162053617362,-2.1148364758291067,2.5960447349897606,-2.7746107242905254,-1.2306399320088741,-0.3617514133973829,5,22,0,-0.02200001168307469,0.46099999754067367,0.02000000468946948,0.8407496911362768,0.7423853359191677,0.4886720768725046,-1.3657218794135406,-0.36007980754694113,1.1214697983547417,1.3762455903233857,7,14,1,0.2499990701135849,0.5549994961526076,0.2999995857955009,5,22,0,7,14,1,2.0,2.0
7.0,-2.062162053617362,-2.1148364758291067,2.5960447349897606,-2.7746107242905254,-1.2306399320088741,-0.3617514133973829,5,22,0,-0.02200001168307469,0.46099999754067367,0.02000000468946948,0.8407496911362768,0.7423853359191677,0.4886720768725046,-1.3657218794135406,-0.36007980754694113,1.1214697983547417,1.3762455903233857,7,14,1,0.2499990701135849,0.5549994961526076,0.2999995857955009,5,22,0,7,14,1,2.0,2.0
7.5,-2.062162053617362,-2.1148364758291067,2.5960447349897606,-2.7746107242905254,-1.2306399320088741,-0.3617514133973829,5,22,0,-0.02200001168307469,0.46099999754067367,0.02000000468946948,0.8407496911362768,0.7423853359191677,0.4886720768725046,-1.3657218794135406,-0.36007980754694113,1.1214697983547417,1.3762455903233857,7,14,1,0.2499990701135849,0.5549994961526076,0.2999995857955009,5,22,0,7,14,1,2.0,2.0
8.0,-2.062162053617362,-2.1148364758291067,2.5960447349897606,-2.7746107242905254,-1.2306399320088741,-0.3617514133973829,5,22,0,-0.02200001168307469,0.46099999754067367,0.02000000468946948,0.8407496911362768,0.7423853359191677,0.4886720768725046,-1.3657218794135406,-0.36007980754694113,1.1214697983547417,1.3762455903233857,7,14,1,0.2499990701135849,0.5549994961526076,0.2999995857955009,5,22,0,7,14,1,2.0,2.0
8.5,-2.062162053617362,-2.1148364758291067,2.5960447349897606,-2.7746107242905254,-1.2306399320088741,-0.3617514133973829,5,22,0,-0.02200001168307469,0.46099999754067367,0.02000000468946948,0.8407496911362768,0.7423853359191677,0.4886720768725046,-1.3657218794135406,-0.36007980754694113,1.1214697983547417,1.3762455903233857,7,14,1,0.2499990701135849,0.5549994961526076,0.2999995857955009,5,22,0,7,14,1,2.0,2.0
9.0,-2.062162053617362,-2.1148364758291067,2.5960447349897606,-2.7746107242905254,-1.2306399320088741,-0.3617514133973829,5,22,0,-0.02200001168307469,0.46099999754067367,0.02000000468946948,0.8407496911362768,0.7423853359191677,0.4886720768725046,-1.3657218794135406,-0.36007980754694113,1.1214697983547417,1.3762455903233857,7,14,1,0.2499990701135849,0.5549994961526076,0.2999995857955009,5,22,0,7,14,1,2.0,2.0
9.5,-2.062162053617362,-2.1148364758291067,2.5960447349897606,-2.7746107242905254,-1.2306399320088741,-0.3617514133973829,5,22,0,-0.02200001168307469,0.46099999754067367,0.02000000468946948,0.8407496911362768,0.7423853359191677,0.4886720768725046,-1.3657218794135406,-0.36007980754694113,1.1214697983547417,1.3762455903233857,7,14,1,0.2499990701135849,0.5549994961526076,0.2999995857955009,5,22,0,7,14,1,2.0,2.0
